Feature,Coefficient,Abs_Coefficient
bmi_smoker,12113.347694992111,12113.347694992111
age_squared,3949.6154073197117,3949.6154073197117
age_smoker,-1868.1020063582837,1868.1020063582837
children,730.5737559956341,730.5737559956341
bmi,669.778878527552,669.778878527552
age,72.24390702094584,72.24390702094584
